frame,view,track_id,x,y,w,h
22,View_001,5,678.0,269.0,29.3,106.9
22,View_001,9,718.4,269.5,24.4,97.8
23,View_001,1,368.5,188.1,34.2,84.0
23,View_001,2,416.8,237.5,33.0,74.3
23,View_001,5,668.4,266.0,30.3,106.8
23,View_001,9,710.6,265.5,25.3,99.1
24,View_001,1,369.6,187.3,33.6,84.5
24,View_001,5,662.9,262.9,30.4,103.4
24,View_001,9,703.6,262.3,25.5,97.7
25,View_001,1,370.8,187.1,32.7,83.8
25,View_001,5,658.1,259.6,30.9,103.6
25,View_001,9,697.0,258.3,26.7,99.4
25,View_001,15,390.9,172.4,23.5,75.8
26,View_001,1,371.6,186.2,32.2,84.0
26,View_001,5,656.9,258.0,31.0,103.9
26,View_001,9,692.6,257.3,27.6,99.5
27,View_001,1,372.3,183.7,32.2,85.6
27,View_001,5,647.6,257.4,32.2,104.1
27,View_001,9,688.0,257.3,28.0,98.2
28,View_001,1,375.8,180.9,32.4,85.7
28,View_001,5,641.4,256.3,32.3,101.6
28,View_001,9,680.7,252.7,28.1,97.8
29,View_001,1,376.9,179.8,32.2,85.5
29,View_001,5,636.5,254.0,32.0,99.1
29,View_001,9,674.5,251.3,27.2,94.7
29,View_001,18,395.2,185.2,36.1,115.0
30,View_001,1,377.9,178.6,32.3,85.8
30,View_001,5,630.6,251.4,32.5,99.0
30,View_001,9,668.7,248.3,27.7,95.4
31,View_001,1,378.3,178.2,32.2,86.1
31,View_001,5,621.7,250.2,33.8,100.7
31,View_001,9,659.1,248.4,28.6,94.2
31,View_001,18,400.5,203.4,28.8,91.5
32,View_001,1,379.1,177.0,32.2,86.8
32,View_001,5,615.4,248.8,34.9,101.0
32,View_001,9,654.3,247.0,29.2,93.9
33,View_001,1,380.3,177.4,31.7,85.4
33,View_001,5,610.5,246.6,35.3,101.0
33,View_001,9,646.5,245.0,29.1,92.8
34,View_001,1,380.2,177.7,31.2,84.1
34,View_001,5,606.8,244.2,35.4,100.8
34,View_001,9,640.3,241.9,29.5,93.9
34,View_001,19,377.3,177.5,23.9,82.6
34,View_001,15,388.9,179.2,25.5,82.8
35,View_001,5,602.8,242.4,35.4,99.9
35,View_001,9,635.9,240.7,29.9,94.3
35,View_001,19,376.5,178.0,23.3,81.0
35,View_001,15,389.3,179.1,26.0,85.3
36,View_001,5,595.7,241.1,35.2,97.4
36,View_001,9,628.3,238.9,31.0,96.6
36,View_001,19,375.4,180.7,22.5,78.0
36,View_001,15,392.4,181.5,25.2,81.9
37,View_001,5,592.5,239.4,35.8,97.8
37,View_001,9,622.4,237.4,30.9,95.1
37,View_001,19,375.5,181.3,22.5,77.6
37,View_001,15,396.0,182.4,25.3,80.3
37,View_001,1,389.0,182.2,29.4,82.1
38,View_001,5,587.2,237.2,36.0,97.1
38,View_001,9,615.7,234.2,30.7,95.0
38,View_001,19,374.9,180.7,22.8,78.1
38,View_001,15,396.6,182.7,25.8,80.4
38,View_001,1,390.3,183.0,28.6,81.8
39,View_001,5,575.6,235.2,35.8,96.6
39,View_001,9,606.3,232.8,30.9,94.0
39,View_001,19,375.6,179.0,23.2,79.2
39,View_001,1,393.8,184.4,27.4,78.8
40,View_001,5,568.2,234.2,36.1,96.6
40,View_001,9,602.0,231.5,31.2,93.8
40,View_001,19,377.4,177.9,23.7,79.8
40,View_001,20,436.8,187.3,22.9,83.0
41,View_001,5,563.5,232.6,36.5,96.5
41,View_001,9,597.6,229.6,31.4,93.7
41,View_001,19,378.9,177.6,23.6,78.9
41,View_001,20,439.8,188.3,21.8,79.2
41,View_001,22,733.8,281.3,31.7,110.0
41,View_001,1,396.8,185.1,25.8,76.7
42,View_001,5,558.7,230.8,36.6,97.1
42,View_001,9,591.7,227.1,31.3,93.0
42,View_001,19,379.4,177.0,23.8,79.3
42,View_001,20,441.6,186.3,21.5,77.7
42,View_001,22,732.5,280.7,33.3,115.3
42,View_001,1,398.1,185.4,24.6,75.7
43,View_001,5,550.6,227.1,35.3,94.7
43,View_001,9,585.3,225.2,31.3,91.9
43,View_001,19,380.5,177.0,23.8,79.0
43,View_001,20,444.8,187.0,21.1,75.6
43,View_001,22,724.9,274.8,33.8,116.3
43,View_001,1,399.8,185.3,23.3,74.4
44,View_001,5,542.5,225.6,35.6,94.5
44,View_001,9,581.6,224.7,31.6,90.9
44,View_001,19,381.0,177.7,24.3,79.7
44,View_001,20,446.6,186.2,21.0,73.9
44,View_001,22,717.7,272.1,34.1,116.1
45,View_001,5,536.5,225.1,36.1,94.3
45,View_001,9,578.0,222.7,32.5,92.0
45,View_001,19,380.5,178.2,24.2,78.9
45,View_001,20,447.8,182.9,21.6,74.4
45,View_001,22,710.8,271.0,34.5,116.2
46,View_001,5,534.1,224.4,35.6,92.2
46,View_001,9,574.6,222.3,31.4,87.8
46,View_001,19,379.9,178.0,24.5,78.7
46,View_001,20,448.3,181.1,21.6,72.9
46,View_001,22,705.2,269.4,35.3,117.4
46,View_001,1,402.0,182.5,23.9,77.4
47,View_001,5,523.6,221.3,35.5,91.6
47,View_001,9,569.1,219.4,30.7,86.9
47,View_001,19,377.9,178.1,24.7,78.6
47,View_001,20,446.7,179.7,21.8,72.2
47,View_001,22,697.6,263.7,34.9,116.5
47,View_001,1,402.7,181.5,24.7,81.0
48,View_001,5,516.4,220.0,35.9,91.5
48,View_001,9,562.5,217.6,31.4,87.0
48,View_001,19,376.1,179.1,24.5,77.4
48,View_001,20,444.4,177.9,22.5,73.1
48,View_001,22,691.4,259.2,34.6,116.5
48,View_001,1,403.7,181.2,24.6,82.4
49,View_001,5,510.3,219.0,36.7,92.6
49,View_001,9,557.8,217.4,32.1,86.6
49,View_001,19,375.2,179.4,24.6,77.1
49,View_001,20,442.9,177.6,22.0,69.8
49,View_001,22,682.5,257.3,34.8,115.8
49,View_001,1,404.9,180.9,24.2,82.8
50,View_001,5,504.2,216.1,36.7,92.3
50,View_001,9,553.0,214.5,32.7,88.1
50,View_001,19,374.4,179.4,24.9,77.6
50,View_001,20,436.9,175.7,22.6,70.8
50,View_001,22,674.4,256.5,35.1,114.0
51,View_001,5,500.8,214.6,35.9,91.0
51,View_001,9,547.5,212.1,32.5,87.6
51,View_001,19,374.3,179.7,25.0,77.4
51,View_001,20,434.2,173.6,23.0,71.0
51,View_001,22,670.1,255.0,35.3,112.8
52,View_001,5,498.7,213.3,35.0,89.9
52,View_001,9,541.6,211.1,32.1,87.5
52,View_001,19,374.3,179.6,25.2,77.1
52,View_001,22,663.3,252.9,35.1,110.8
53,View_001,5,494.7,211.8,35.1,90.6
53,View_001,9,537.9,211.8,31.2,85.4
53,View_001,19,374.1,179.9,25.0,76.4
53,View_001,22,656.0,250.9,35.6,110.5
54,View_001,5,489.2,210.7,35.4,91.1
54,View_001,9,532.1,209.9,32.0,86.9
54,View_001,19,373.9,179.9,24.9,76.5
54,View_001,22,646.4,249.3,36.0,110.7
55,View_001,5,484.5,209.5,35.2,89.6
55,View_001,9,528.0,208.5,31.6,85.7
55,View_001,19,374.4,179.5,24.8,76.6
55,View_001,22,640.6,246.6,36.9,112.3
56,View_001,5,479.7,208.3,35.7,89.5
56,View_001,9,524.7,207.1,30.9,84.3
56,View_001,19,375.1,179.2,24.8,77.4
56,View_001,22,636.6,244.4,36.3,111.5
57,View_001,5,473.1,206.7,36.5,90.7
57,View_001,9,517.4,206.2,30.8,82.9
57,View_001,19,375.8,175.3,25.9,81.5
57,View_001,22,630.5,240.9,35.0,108.5
58,View_001,5,469.0,205.7,36.9,90.8
58,View_001,9,512.9,206.0,31.2,82.5
58,View_001,19,377.0,173.2,26.4,83.4
58,View_001,22,623.6,239.1,34.9,107.3
59,View_001,5,466.5,205.6,36.8,89.4
59,View_001,9,510.3,204.3,31.9,84.1
59,View_001,19,376.6,175.1,25.9,82.1
59,View_001,22,620.4,238.3,34.5,106.1
59,View_001,28,399.7,182.0,23.6,80.6
60,View_001,5,464.6,203.6,36.1,87.8
60,View_001,9,503.4,201.8,31.6,84.4
60,View_001,19,377.5,179.9,24.3,78.0
60,View_001,22,614.9,233.6,35.1,107.6
60,View_001,28,399.2,182.9,23.6,80.5
61,View_001,5,463.2,201.4,36.1,88.4
61,View_001,9,498.5,200.4,31.3,84.3
61,View_001,19,377.8,182.2,23.8,75.9
61,View_001,22,611.7,230.6,34.9,105.9
61,View_001,28,399.4,183.3,23.7,80.9
61,View_001,29,360.9,170.2,17.5,67.3
62,View_001,5,461.9,200.3,35.4,87.6
62,View_001,9,495.0,199.7,31.3,84.4
62,View_001,19,377.1,183.0,24.1,76.0
62,View_001,22,608.7,228.7,35.4,106.1
62,View_001,28,399.8,183.9,23.6,80.5
62,View_001,29,354.6,169.9,17.9,67.1
63,View_001,5,461.0,200.0,34.2,85.8
63,View_001,9,492.9,199.4,30.9,83.7
63,View_001,19,375.0,182.5,24.9,77.6
63,View_001,22,605.7,227.6,35.6,106.3
63,View_001,28,400.1,183.9,23.8,80.6
63,View_001,29,350.4,169.9,18.6,67.7
64,View_001,5,457.7,198.5,33.9,85.5
64,View_001,9,490.8,197.4,30.2,82.9
64,View_001,19,373.9,181.7,25.5,78.9
64,View_001,22,601.9,225.0,35.4,106.3
64,View_001,28,400.0,183.0,24.0,81.5
64,View_001,29,339.1,168.5,19.0,68.8
65,View_001,5,454.4,196.1,34.1,85.9
65,View_001,9,489.3,195.4,29.6,82.3
65,View_001,19,373.9,181.6,26.0,79.4
65,View_001,22,599.7,222.7,34.6,104.6
65,View_001,28,401.4,183.5,23.8,80.6
65,View_001,29,331.6,167.9,19.4,69.6
66,View_001,5,450.9,195.0,33.9,85.3
66,View_001,9,487.7,194.6,29.0,81.1
66,View_001,19,372.6,180.4,26.8,80.5
66,View_001,22,598.2,218.8,34.1,103.3
66,View_001,29,326.1,169.4,19.4,67.1
67,View_001,5,448.3,194.4,33.6,84.6
67,View_001,9,485.7,194.1,28.7,80.5
67,View_001,19,373.1,180.4,26.9,80.6
67,View_001,22,596.1,216.6,34.0,103.4
67,View_001,29,320.5,169.6,20.0,66.8
68,View_001,5,445.2,193.7,34.0,85.5
68,View_001,9,482.0,191.6,29.3,82.7
68,View_001,19,372.6,180.1,27.0,80.7
68,View_001,22,592.5,214.6,33.6,103.0
68,View_001,29,310.0,168.3,20.1,66.7
69,View_001,5,443.7,192.6,33.8,85.8
69,View_001,9,479.7,190.0,29.0,82.2
69,View_001,19,371.9,180.2,27.3,80.3
69,View_001,22,589.5,211.5,33.6,102.7
69,View_001,29,301.8,167.7,21.0,67.2
70,View_001,5,442.6,190.1,33.4,85.5
70,View_001,9,477.9,188.7,28.7,81.4
70,View_001,19,372.5,180.7,27.3,79.8
70,View_001,22,586.9,208.8,33.3,100.9
70,View_001,29,296.5,169.0,21.7,66.1
71,View_001,5,442.0,187.4,33.2,85.7
71,View_001,9,476.5,186.8,28.8,82.1
71,View_001,19,372.8,180.7,27.4,79.6
71,View_001,22,584.3,206.1,33.5,100.8
71,View_001,29,292.9,170.2,22.4,65.3
72,View_001,5,441.0,185.3,33.2,86.5
72,View_001,9,476.0,186.0,28.7,81.9
72,View_001,19,371.4,180.1,28.0,80.5
72,View_001,22,580.8,205.7,33.2,99.0
72,View_001,29,283.2,169.8,22.4,65.4
73,View_001,5,440.4,184.7,32.9,87.1
73,View_001,9,476.1,185.5,28.2,81.1
73,View_001,19,371.7,180.1,27.8,80.3
73,View_001,22,578.7,204.3,32.9,98.1
73,View_001,29,276.0,170.4,23.2,65.0
74,View_001,5,440.0,184.9,31.5,83.9
74,View_001,9,476.3,183.9,28.2,81.4
74,View_001,19,371.4,179.4,28.0,81.0
74,View_001,22,577.4,201.0,32.9,98.6
74,View_001,29,270.6,170.1,24.3,66.4
75,View_001,5,439.7,182.0,30.6,82.0
75,View_001,9,477.2,181.4,27.5,79.1
75,View_001,19,371.4,179.2,28.4,81.3
75,View_001,22,575.3,197.3,32.5,97.5
75,View_001,29,264.7,170.3,24.7,66.8
76,View_001,5,439.8,181.0,29.8,79.9
76,View_001,9,477.4,180.5,27.2,77.6
76,View_001,19,371.2,179.2,28.5,81.2
76,View_001,22,574.0,195.9,32.0,96.1
76,View_001,29,260.4,170.5,25.4,68.5
77,View_001,5,440.0,180.7,29.3,78.5
77,View_001,9,477.2,179.6,27.4,77.8
77,View_001,19,370.7,179.2,28.6,81.3
77,View_001,22,572.7,194.9,31.9,96.1
77,View_001,29,258.0,171.1,25.9,69.4
78,View_001,5,441.3,178.2,29.2,77.9
78,View_001,9,475.7,176.5,27.9,79.7
78,View_001,19,371.2,179.6,28.5,80.8
78,View_001,22,570.9,191.3,31.4,94.1
78,View_001,29,256.5,171.9,26.2,70.3
78,View_001,30,276.3,52.6,14.3,32.0
79,View_001,5,442.1,176.3,29.6,78.1
79,View_001,9,474.6,175.4,27.2,77.2
79,View_001,19,371.5,179.0,28.6,81.4
79,View_001,22,569.4,189.3,31.6,94.0
79,View_001,29,256.3,172.5,26.0,69.6
79,View_001,30,274.7,52.5,14.4,32.3
80,View_001,5,443.0,174.1,30.0,78.7
80,View_001,9,474.3,173.8,27.1,77.0
80,View_001,19,371.5,179.4,28.2,80.8
80,View_001,22,567.4,187.3,32.0,94.9
80,View_001,29,256.9,173.9,26.1,69.6
80,View_001,30,273.0,52.4,14.5,32.4
81,View_001,5,444.5,172.8,30.0,78.7
81,View_001,9,474.7,173.1,27.1,77.3
81,View_001,19,371.9,179.8,27.5,80.1
81,View_001,22,566.0,186.5,31.7,93.9
81,View_001,29,257.5,174.6,26.5,70.5
81,View_001,30,271.8,52.2,14.4,32.4
82,View_001,5,446.5,171.9,29.6,77.3
82,View_001,9,475.7,172.2,27.2,77.8
82,View_001,19,373.0,179.7,27.0,80.0
82,View_001,22,564.5,184.6,31.5,93.6
82,View_001,29,260.0,176.8,26.2,69.2
82,View_001,30,268.5,52.1,14.6,33.2
83,View_001,5,447.7,169.1,29.1,76.2
83,View_001,9,477.3,170.7,27.2,78.0
83,View_001,19,373.7,179.1,26.7,80.5
83,View_001,22,563.8,182.3,31.0,92.0
83,View_001,29,262.2,177.8,26.0,68.9
83,View_001,30,266.8,52.9,14.5,33.0
84,View_001,5,448.5,167.2,29.1,76.2
84,View_001,9,479.9,169.2,26.6,76.1
84,View_001,19,374.6,178.4,26.8,81.5
84,View_001,22,563.1,180.0,31.2,92.2
84,View_001,29,264.7,178.3,26.1,69.4
84,View_001,30,264.7,53.4,14.6,33.3
85,View_001,5,449.7,165.4,28.7,75.3
85,View_001,9,482.5,168.1,26.3,74.6
85,View_001,19,374.6,177.9,26.9,81.7
85,View_001,22,562.5,178.2,31.6,93.6
85,View_001,29,269.8,180.9,26.5,68.9
85,View_001,30,260.7,53.2,14.6,33.5
86,View_001,5,451.2,164.5,28.5,74.7
86,View_001,9,484.2,167.7,26.1,73.8
86,View_001,19,374.6,177.4,27.3,82.1
86,View_001,22,562.6,176.3,31.6,93.5
86,View_001,29,273.2,181.6,27.4,70.8
86,View_001,30,258.0,55.0,14.2,32.2
87,View_001,5,452.9,164.1,28.6,74.7
87,View_001,9,484.5,166.2,26.3,74.8
87,View_001,19,374.0,177.3,27.7,81.9
87,View_001,22,563.4,175.0,30.8,91.3
87,View_001,29,276.3,182.2,27.7,71.8
87,View_001,30,256.0,55.6,14.2,31.8
88,View_001,5,456.2,160.4,29.0,75.6
88,View_001,9,485.9,163.7,25.9,73.8
88,View_001,19,373.2,177.1,28.2,81.2
88,View_001,22,565.5,173.2,29.7,88.3
88,View_001,29,281.3,183.3,28.3,74.0
88,View_001,30,253.0,55.7,14.3,32.2
89,View_001,5,458.4,158.8,29.2,75.9
89,View_001,9,488.0,161.7,26.0,73.5
89,View_001,19,372.8,177.0,28.9,81.6
89,View_001,22,567.6,171.9,29.0,86.9
89,View_001,29,285.5,186.0,27.3,71.4
89,View_001,30,251.1,56.7,14.2,32.2
90,View_001,5,460.9,158.3,29.4,76.3
90,View_001,9,490.3,161.8,25.7,71.3
90,View_001,19,373.5,176.8,29.4,82.1
90,View_001,22,569.3,171.9,28.5,85.6
90,View_001,29,289.4,188.1,27.3,72.0
90,View_001,30,249.1,57.4,14.2,32.2
91,View_001,5,462.7,157.9,29.4,76.1
91,View_001,9,492.1,161.5,26.0,70.9
91,View_001,19,375.1,177.5,29.0,80.5
91,View_001,22,570.5,169.3,28.6,85.8
91,View_001,29,292.7,188.7,27.4,72.8
91,View_001,30,247.0,57.4,14.7,33.2
92,View_001,5,466.7,155.5,28.5,74.2
92,View_001,9,495.3,159.0,26.7,72.4
92,View_001,19,378.0,177.1,29.3,80.8
92,View_001,22,572.4,165.9,29.0,86.1
92,View_001,29,299.3,189.9,27.7,73.0
92,View_001,30,243.3,57.4,14.9,34.0
93,View_001,5,469.5,154.2,28.1,73.1
93,View_001,9,498.2,158.3,26.4,71.5
93,View_001,19,379.6,177.0,29.6,80.6
93,View_001,22,573.9,164.2,29.5,86.7
93,View_001,29,305.7,191.4,28.1,72.9
93,View_001,30,240.9,57.5,14.9,34.2
94,View_001,5,472.6,154.3,27.5,71.4
94,View_001,9,500.5,157.9,26.2,70.8
94,View_001,19,379.4,176.8,30.4,81.2
94,View_001,22,575.7,163.4,29.8,86.9
94,View_001,29,309.0,192.4,28.4,73.2
94,View_001,30,238.3,58.2,15.0,34.2
95,View_001,5,475.9,154.0,27.7,71.2
95,View_001,9,502.6,158.1,26.0,70.6
95,View_001,19,379.2,176.9,31.1,81.6
95,View_001,22,577.5,162.5,29.5,85.7
95,View_001,29,313.5,193.6,28.0,72.5
95,View_001,30,236.0,58.6,14.8,33.5
96,View_001,5,479.0,152.1,28.2,73.0
96,View_001,9,504.9,155.1,26.3,72.3
96,View_001,19,379.7,177.2,30.9,80.3
96,View_001,22,579.8,159.1,28.9,84.7
96,View_001,29,321.3,194.8,28.4,74.1
96,View_001,30,233.1,58.7,15.0,34.0
97,View_001,5,482.6,150.6,27.8,72.3
97,View_001,9,507.6,153.9,25.8,71.4
97,View_001,19,381.9,177.5,30.4,79.5
97,View_001,22,581.7,157.7,28.3,83.8
97,View_001,29,327.2,196.8,28.7,74.9
97,View_001,30,231.4,59.0,15.2,34.4
98,View_001,5,485.6,149.3,27.7,72.5
98,View_001,9,509.9,153.0,25.2,69.9
98,View_001,19,381.8,177.0,30.4,79.9
98,View_001,22,583.6,157.0,27.9,83.3
98,View_001,29,332.1,197.2,28.7,75.7
98,View_001,30,228.9,59.5,15.2,34.0
99,View_001,5,488.9,148.4,27.6,72.5
99,View_001,9,513.7,152.2,25.3,69.7
99,View_001,19,379.3,177.0,30.8,80.4
99,View_001,22,587.0,155.9,27.4,81.6
99,View_001,29,340.8,198.4,28.3,75.2
99,View_001,30,224.5,59.7,15.5,35.1
100,View_001,5,492.6,148.1,27.1,71.4
100,View_001,9,515.2,151.3,25.6,70.3
100,View_001,19,378.5,177.0,30.7,79.3
100,View_001,22,589.6,154.2,27.1,79.9
100,View_001,29,348.1,198.9,29.1,75.9
100,View_001,30,222.1,60.0,15.6,35.6
101,View_001,5,494.6,145.8,27.1,71.7
101,View_001,9,517.8,149.3,25.8,70.4
101,View_001,19,378.0,176.8,30.8,78.6
101,View_001,22,591.6,152.4,27.5,80.3
101,View_001,29,352.5,199.7,29.6,75.7
101,View_001,30,220.3,61.0,15.4,35.0
102,View_001,5,498.1,143.7,26.2,69.3
102,View_001,9,521.4,149.0,25.3,69.1
102,View_001,19,378.2,175.9,31.3,79.3
102,View_001,22,593.6,152.1,27.7,80.0
102,View_001,29,357.5,201.4,29.0,74.5
102,View_001,30,217.5,60.8,15.4,35.0
103,View_001,5,501.4,144.0,26.0,69.2
103,View_001,9,526.3,148.2,25.0,68.4
103,View_001,19,371.0,174.9,37.1,96.0
103,View_001,22,597.4,151.6,27.4,78.9
103,View_001,30,214.3,61.8,15.1,34.4
104,View_001,5,505.4,143.1,26.4,69.6
104,View_001,9,529.2,148.0,24.7,67.4
104,View_001,19,370.5,174.1,39.4,102.3
104,View_001,22,600.3,148.4,27.3,79.2
104,View_001,30,212.2,63.3,15.3,34.3
105,View_001,5,509.5,142.9,26.0,68.1
105,View_001,9,534.1,146.3,24.5,67.3
105,View_001,19,373.1,174.7,39.1,103.9
105,View_001,22,604.1,145.6,26.9,79.1
105,View_001,30,206.5,63.1,15.3,34.8
106,View_001,5,512.8,141.6,25.8,67.5
106,View_001,9,538.0,145.2,24.4,67.4
106,View_001,19,376.0,175.5,32.8,87.7
106,View_001,22,607.9,144.3,26.6,78.6
106,View_001,30,203.2,63.7,15.2,35.0
106,View_001,33,397.7,203.0,20.3,75.9
107,View_001,5,515.8,140.0,26.0,68.3
107,View_001,9,540.9,144.2,24.2,67.2
107,View_001,19,377.0,175.6,30.1,81.4
107,View_001,22,609.6,144.2,26.4,78.3
107,View_001,30,200.3,64.3,15.2,34.7
107,View_001,33,404.4,203.0,20.7,76.5
108,View_001,5,518.9,139.0,26.5,69.2
108,View_001,9,544.9,143.3,24.4,66.8
108,View_001,19,375.2,174.7,29.1,79.0
108,View_001,22,612.9,143.2,26.3,77.4
108,View_001,30,196.2,64.7,15.5,35.5
109,View_001,5,522.8,138.9,26.2,68.1
109,View_001,9,547.6,143.1,23.8,65.1
109,View_001,19,374.2,174.9,28.8,78.3
109,View_001,22,615.6,142.1,26.0,75.5
109,View_001,30,194.1,64.2,15.5,35.9
110,View_001,5,526.0,138.2,25.9,67.3
110,View_001,9,549.5,142.1,24.2,66.3
110,View_001,19,373.1,175.3,28.6,77.3
110,View_001,22,618.1,140.3,26.7,76.7
110,View_001,30,192.7,64.5,15.7,36.2
111,View_001,5,529.0,137.0,25.9,67.2
111,View_001,9,552.3,142.2,24.0,65.6
111,View_001,19,371.7,176.0,28.7,77.0
111,View_001,22,620.5,139.4,26.9,76.6
111,View_001,30,191.8,65.2,15.8,36.1
112,View_001,5,531.7,136.4,25.6,67.0
112,View_001,9,556.3,141.7,23.7,64.9
112,View_001,19,370.4,176.7,28.9,77.4
112,View_001,22,623.5,138.9,26.6,75.3
112,View_001,30,189.9,66.4,15.5,35.3
112,View_001,36,437.5,206.1,34.5,78.1
113,View_001,5,536.8,135.3,26.1,68.0
113,View_001,9,561.3,140.9,23.8,64.5
113,View_001,19,369.2,177.8,28.9,77.6
113,View_001,22,627.4,136.9,26.2,75.2
113,View_001,30,185.5,66.1,16.1,37.0
113,View_001,36,447.3,207.0,34.6,78.8
114,View_001,5,539.3,134.9,26.2,68.5
114,View_001,9,564.5,140.2,23.8,64.3
114,View_001,19,369.2,178.6,29.0,77.9
114,View_001,22,630.4,135.8,25.7,75.0
114,View_001,30,183.3,67.1,15.7,36.4
114,View_001,36,455.2,207.3,34.2,78.6
115,View_001,5,542.0,134.2,26.0,67.6
115,View_001,9,567.2,139.4,23.5,63.6
115,View_001,19,369.8,180.0,29.0,77.9
115,View_001,22,633.7,135.1,25.5,74.4
115,View_001,30,180.9,67.6,15.6,36.1
115,View_001,36,465.5,208.7,34.1,78.0
115,View_001,37,736.6,226.6,29.6,84.8
116,View_001,5,544.0,132.6,25.8,66.8
116,View_001,9,569.9,138.1,23.4,63.8
116,View_001,19,370.7,180.8,29.0,76.9
116,View_001,22,636.1,134.9,25.1,73.4
116,View_001,30,178.5,68.2,15.3,35.5
116,View_001,36,469.5,210.6,34.3,77.6
116,View_001,37,735.7,224.1,30.6,87.5
117,View_001,5,548.2,130.7,26.3,67.4
117,View_001,9,574.5,136.6,23.7,64.2
117,View_001,19,371.3,181.2,29.5,77.7
117,View_001,22,639.3,133.6,24.9,72.4
117,View_001,30,175.4,68.6,15.8,36.3
117,View_001,36,480.3,210.1,34.4,78.9
117,View_001,37,722.8,222.5,31.2,88.3
118,View_001,5,551.9,130.5,26.2,67.1
118,View_001,9,579.2,136.2,23.8,63.2
118,View_001,19,371.6,182.0,29.5,78.0
118,View_001,22,642.2,131.0,25.4,73.4
118,View_001,30,173.7,69.7,15.8,35.8
118,View_001,36,488.3,210.8,34.2,79.9
